夜市名稱,調味名稱,攤位,攤商名稱,品牌,來源(產地)
臨江街觀光夜市,格登炸雞,臨江街39巷50弄33號,格登炸雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒,臨江街85號前,牛咩咩可麗餅,宏元食品行,台北市信義區松隆路50號一樓
臨江街觀光夜市,煉乳,臨江街85號前,印度拉茶,盛發興食品股份有限公司 ,雲林縣斗六市斗六工業區民享街1號
臨江街觀光夜市,沙拉油,臨江街83號路中,阿芳潤餅捲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,芥末粉,臨江街83號路中,阿芳潤餅捲,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,辣椒醬,臨江街83號路中,阿芳潤餅捲,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,糖,臨江街83號路中,阿芳潤餅捲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,淡煉乳,饒河街73號,橘象,盛發興食品股份有限公司,雲林縣斗六市榴中里民享街1號 新莊區五權五路19號
饒河街觀光夜市,糖,饒河街73號,橘象,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,沙茶醬,饒河街345號路中,玉米哥直立式碳烤,勝益興食品有限公司,高雄市三民區遼北街7號
饒河街觀光夜市,糖,饒河街345號路中,玉米哥直立式碳烤,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街345號路中,玉米哥直立式碳烤,新亞醬園,新北市蘆洲區長安街285巷18號1樓
饒河街觀光夜市,鹽,饒河街345號路中,玉米哥直立式碳烤,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,沙拉油,饒河街夜市路中348號,阿根脆皮臭豆腐,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,蒜泥,饒河街夜市路中348號,阿根脆皮臭豆腐,環南市場,台北市萬華區環河南路二段245號
饒河街觀光夜市,糖,饒河街夜市路中348號,阿根脆皮臭豆腐,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街夜市路中348號,阿根脆皮臭豆腐,西螺大同醬油股份有限公司,雲林縣斗六市工業區斗工二路39號
饒河街觀光夜市,鹽,饒河街夜市路中348號,阿根脆皮臭豆腐,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,沙拉油,饒河街192號前對面路中,大雞排,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,味精,饒河街192號前對面路中,大雞排,味全食品工業股份有限公司,台北市中山區松江路125號
饒河街觀光夜市,胡椒粉等香料,饒河街192號前對面路中,大雞排,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,糖,饒河街192號前對面路中,大雞排,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街192號前對面路中,大雞排,統一企業股份有限公司,台南市永康區鹽行里中正路301號
饒河街觀光夜市,鹽,饒河街192號前對面路中,大雞排,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,沙拉油,饒河街187號,瘋炸魷魚,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,味精,饒河街187號,瘋炸魷魚,味全食品工業股份有限公司,台北市中山區松江路125號
饒河街觀光夜市,糖,饒河街187號,瘋炸魷魚,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街187號,瘋炸魷魚,統一企業股份有限公司,台南市永康區鹽行里中正路301號
饒河街觀光夜市,鹽,饒河街187號,瘋炸魷魚,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,哇沙米,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,胡椒,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,新疆孜然,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,辣椒,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,糖,饒河街路中342、229號,台中新社菇,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,檸檬椒鹽,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,醬油,饒河街路中342、229號,台中新社菇,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,鹽,饒河街路中342、229號,台中新社菇,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,沙拉油,饒河街109號前路中,潤餅捲,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,甜辣醬,饒河街109號前路中,潤餅捲,三豐食品工廠,新北市新莊區化成路100號
饒河街觀光夜市,玉米粒,饒河街109號,口?品臭豆腐,味全食品工業股份有限公司,台北市中山區松江路125號
饒河街觀光夜市,沙拉油,饒河街109號,口?品臭豆腐,大統益股份有限公司,台南市官田區二鎮里工業西路32號
饒河街觀光夜市,味精,饒河街109號,口?品臭豆腐,味全食品工業股份有限公司,台北市中山區松江路125號
饒河街觀光夜市,醬油,饒河街109號,口?品臭豆腐,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,鹽,饒河街109號,口?品臭豆腐,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,玫瑰鹽,饒河街夜市路中334號,澳洲岩烤和牛,飛馬,臺灣
饒河街觀光夜市,玫瑰鹽,饒河街夜市路中334號,澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,胡椒粉,饒河街夜市路中334號,澳洲岩烤和牛,飛馬,臺灣
饒河街觀光夜市,胡椒粉,饒河街夜市路中334號,澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,麻辣粉,饒河街夜市路中334號,澳洲岩烤和牛,飛馬,臺灣
饒河街觀光夜市,麻辣粉,饒河街夜市路中334號,澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,芝麻,饒河街214號攤位,顏家寧夏手撕雞,家見企業有限公司,台北市大同區歸綏街234號1樓
饒河街觀光夜市,花生粉,饒河街214號攤位,顏家寧夏手撕雞,家見企業有限公司,台北市大同區歸綏街234號1樓
饒河街觀光夜市,香油,饒河街214號攤位,顏家寧夏手撕雞,信成油廠股份有限公司,台北市大同區民生西路96號
饒河街觀光夜市,蒜泥,饒河街214號攤位,顏家寧夏手撕雞,家見企業有限公司,台北市大同區歸綏街234號1樓
