調味名稱,攤位,攤商名稱,品牌,來源(產地),夜市名稱,_id
醬油,遼寧街夜市,滑嫩嫩蛋屋,金蘭食品股份有限公司,桃園市大溪區介壽路236號,遼寧街夜市,574
鹽,遼寧街夜市,滑嫩嫩蛋屋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,遼寧街夜市,575
米酒,中華路二段309巷-311巷間,甲林鐵板燒,臺灣菸酒股份有限公司,台北市中正區南昌路一段4號,南機場夜市,576
沙拉油,中華路二段309巷-311巷間,甲林鐵板燒,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,南機場夜市,578
味精,中華路二段309巷-311巷間,甲林鐵板燒,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,579
番茄糊,中華路二段309巷-311巷間,甲林鐵板燒,臺灣可果美股份有限公司,台南市善化區小新營394號,南機場夜市,580
糖,中華路二段309巷-311巷間,甲林鐵板燒,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,581
醬油,中華路二段309巷-311巷間,甲林鐵板燒,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,582
鹽,中華路二段309巷-311巷間,甲林鐵板燒,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,583
沙拉油,中華路二段307巷-309巷間,鈺師傅上海生煎包,福壽實業股份有限公司,台中市沙鹿區沙田路45號,南機場夜市,584
味精,中華路二段307巷-309巷間,鈺師傅上海生煎包,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,585
香油,中華路二段307巷-309巷間,鈺師傅上海生煎包,富味鄉食品股份有限公司,新北市五股區五權路53號,南機場夜市,586
辣椒醬,中華路二段307巷-309巷間,鈺師傅上海生煎包,高和興醬園股份有限公司,桃園縣蘆竹鄉新興村104號之7,南機場夜市,587
糖,中華路二段307巷-309巷間,鈺師傅上海生煎包,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,588
醬油膏,中華路二段307巷-309巷間,鈺師傅上海生煎包,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,南機場夜市,589
鹽,中華路二段307巷-309巷間,鈺師傅上海生煎包,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,590
沙茶醬,延三觀光夜市,鐵板炒飯,好帝一食品有限公司,台南市新市區大營里豐榮160號,延三觀光夜市,591
香油,延三觀光夜市,鐵板炒飯,日發麻油行,新北市三重區瑞德里11鄰仁興街24巷2號1樓,延三觀光夜市,592
豬油,延三觀光夜市,鐵板炒飯,蘭州市場,台北市大同區昌吉街55號,延三觀光夜市,593
醋,延三觀光夜市,鐵板炒飯,大安工研食品工廠股份有限公司,台北市大安區忠孝東路3段10巷1號,延三觀光夜市,594
糖,延三觀光夜市,鐵板炒飯,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,延三觀光夜市,595
醬油,延三觀光夜市,鐵板炒飯,金蘭食品股份有限公司,桃園市大溪區介壽路236號,延三觀光夜市,596
鹽,延三觀光夜市,鐵板炒飯,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,延三觀光夜市,597
香油,170號前,台南米糕,富味鄉食品股份有限公司,新北市五股區五權路53號,西昌街觀光夜市,598
糖,170號前,台南米糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,西昌街觀光夜市,600
醬油,170號前,台南米糕,鬼女神食品有限公司,台北市大同區哈密街50之3號1樓,西昌街觀光夜市,601
鹽,170號前,台南米糕,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,西昌街觀光夜市,602
沙茶醬,饒河街345號路中,玉米哥直立式碳烤,勝益興食品有限公司,高雄市三民區遼北街7號,饒河街觀光夜市,603
